"","clade","nrC>U","nrG>A"
"1","G",7.42593609249491,1.38552220266827
"2","GH",8.39048620293216,1.23121502141161
"3","GK",6.79383701362041,1.38278108770316
"4","GR",7.88640375766031,1.22782548071482
"5","GRA",5.23505303661399,1.23067293585281
"6","GRY",8.33440791365386,1.12740258302021
"7","GV",7.29895775384481,0.845843229614637
"8","L",11.5836889545924,0.830910559644992
"9","O",7.99878745898736,1.45160243461376
"10","S",9.09136964195564,1.14941759560018
"11","V",8.7021634333014,1.11125673013075
