"","data_id","a_ratio_mean","c_ratio_mean","g_ratio_mean","t_ratio_mean"
"1","hCoV-19/Wuhan/WIV04/2019|EPI_ISL_402124","0.299153591382021","0.183734234384932","0.19614599712288","0.320966177110167"
"3","G","0.298686756690561","0.183539841908265","0.196309371000126","0.321464030401048"
"4","GH","0.298661264307175","0.183458635944232","0.196247401478893","0.3216326982697"
"5","GK","0.298704863033688","0.183276598670845","0.196244586952941","0.321773951342526"
"6","GR","0.298753573410212","0.18353379342872","0.196183262761553","0.321529370399515"
"7","GRA","0.298835565586187","0.182824413018681","0.196109570779773","0.322230450615358"
"8","GRY","0.298789258259374","0.183455486775206","0.19625041943332","0.3215048355321"
"9","GV","0.298666282417509","0.183480572032813","0.196300373555181","0.321552771994497"
"10","L","0.298755250273563","0.183762253553036","0.196307613993643","0.321174882179759"
"11","O","0.29888069395968","0.183433540236346","0.19615005465201","0.321535711151963"
"12","S","0.298768708244843","0.183663507806029","0.196245853210288","0.321321930738839"
"13","V","0.298702019025638","0.183745351759526","0.196281294812285","0.321271334402551"
